##Formulas are in linux filename wild-card
##Note switching from wild-card to regex formulas is by replacing '.*' by '*'
#Category	Sub-category	Source	Subtool
Transcription factor binding sites (search by cell/tissue type)	Lung_OC	ENCODE	Encode:Cell, tissue or DNA sample=Lung_OC
Transcription factor binding sites (search by cell/tissue type)	M059J	ENCODE	Encode:Cell, tissue or DNA sample=M059J
Transcription factor binding sites (search by cell/tissue type)	MCF-7	ENCODE	Encode:Cell, tissue or DNA sample=MCF-7
Transcription factor binding sites (search by cell/tissue type)	MCF10A-Er-Src	ENCODE	Encode:Cell, tissue or DNA sample=MCF10A-Er-Src
Transcription factor binding sites (search by cell/tissue type)	MRT_A204	ENCODE	Encode:Cell, tissue or DNA sample=MRT_A204
Transcription factor binding sites (search by cell/tissue type)	MRT_G401	ENCODE	Encode:Cell, tissue or DNA sample=MRT_G401
Transcription factor binding sites (search by cell/tissue type)	MRT_TTC549	ENCODE	Encode:Cell, tissue or DNA sample=MRT_TTC549
Transcription factor binding sites (search by cell/tissue type)	Medullo	ENCODE	Encode:Cell, tissue or DNA sample=Medullo
Transcription factor binding sites (search by cell/tissue type)	Medullo_D341	ENCODE	Encode:Cell, tissue or DNA sample=Medullo_D341
Transcription factor binding sites (search by cell/tissue type)	Mel_2183	ENCODE	Encode:Cell, tissue or DNA sample=Mel_2183
Transcription factor binding sites (search by cell/tissue type)	Melano	ENCODE	Encode:Cell, tissue or DNA sample=Melano
Transcription factor binding sites (search by cell/tissue type)	Monocytes-CD14+	ENCODE	Encode:Cell, tissue or DNA sample=Monocytes-CD14+
Transcription factor binding sites (search by cell/tissue type)	Monocytes-CD14+_RO01746	ENCODE	Encode:Cell, tissue or DNA sample=Monocytes-CD14+_RO01746
Transcription factor binding sites (search by cell/tissue type)	Myometr	ENCODE	Encode:Cell, tissue or DNA sample=Myometr
Transcription factor binding sites (search by cell/tissue type)	NB4	ENCODE	Encode:Cell, tissue or DNA sample=NB4
Transcription factor binding sites (search by cell/tissue type)	NH-A	ENCODE	Encode:Cell, tissue or DNA sample=NH-A
Transcription factor binding sites (search by cell/tissue type)	NHBE	ENCODE	Encode:Cell, tissue or DNA sample=NHBE
Transcription factor binding sites (search by cell/tissue type)	NHBE_RA	ENCODE	Encode:Cell, tissue or DNA sample=NHBE_RA
Transcription factor binding sites (search by cell/tissue type)	NHDF	ENCODE	Encode:Cell, tissue or DNA sample=NHDF
Transcription factor binding sites (search by cell/tissue type)	NHDF-Ad	ENCODE	Encode:Cell, tissue or DNA sample=NHDF-Ad
Transcription factor binding sites (search by cell/tissue type)	NHDF-neo	ENCODE	Encode:Cell, tissue or DNA sample=NHDF-neo
Transcription factor binding sites (search by cell/tissue type)	NHEK	ENCODE	Encode:Cell, tissue or DNA sample=NHEK
Transcription factor binding sites (search by cell/tissue type)	NHEM.f_M2	ENCODE	Encode:Cell, tissue or DNA sample=NHEM.f_M2
Transcription factor binding sites (search by cell/tissue type)	NHEM_M2	ENCODE	Encode:Cell, tissue or DNA sample=NHEM_M2
Transcription factor binding sites (search by cell/tissue type)	NHLF	ENCODE	Encode:Cell, tissue or DNA sample=NHLF
Transcription factor binding sites (search by cell/tissue type)	NT2-D1	ENCODE	Encode:Cell, tissue or DNA sample=NT2-D1
Transcription factor binding sites (search by cell/tissue type)	Naive_B_cell	ENCODE	Encode:Cell, tissue or DNA sample=Naive_B_cell
Transcription factor binding sites (search by cell/tissue type)	None	ENCODE	Encode:Cell, tissue or DNA sample=None
Transcription factor binding sites (search by cell/tissue type)	Olf_neurosphere	ENCODE	Encode:Cell, tissue or DNA sample=Olf_neurosphere
Transcription factor binding sites (search by cell/tissue type)	Osteobl	ENCODE	Encode:Cell, tissue or DNA sample=Osteobl
Transcription factor binding sites (search by cell/tissue type)	PANC-1	ENCODE	Encode:Cell, tissue or DNA sample=PANC-1
Transcription factor binding sites (search by cell/tissue type)	PBDE	ENCODE	Encode:Cell, tissue or DNA sample=PBDE
Transcription factor binding sites (search by cell/tissue type)	PBDEFetal	ENCODE	Encode:Cell, tissue or DNA sample=PBDEFetal
Transcription factor binding sites (search by cell/tissue type)	PBMC	ENCODE	Encode:Cell, tissue or DNA sample=PBMC
Transcription factor binding sites (search by cell/tissue type)	PFSK-1	ENCODE	Encode:Cell, tissue or DNA sample=PFSK-1
Transcription factor binding sites (search by cell/tissue type)	PanIsletD	ENCODE	Encode:Cell, tissue or DNA sample=PanIsletD
Transcription factor binding sites (search by cell/tissue type)	PanIslets	ENCODE	Encode:Cell, tissue or DNA sample=PanIslets
Transcription factor binding sites (search by cell/tissue type)	Pancreas_OC	ENCODE	Encode:Cell, tissue or DNA sample=Pancreas_OC
Transcription factor binding sites (search by cell/tissue type)	PrEC	ENCODE	Encode:Cell, tissue or DNA sample=PrEC
Transcription factor binding sites (search by cell/tissue type)	ProgFib	ENCODE	Encode:Cell, tissue or DNA sample=ProgFib
Transcription factor binding sites (search by cell/tissue type)	Psoas_muscle_OC	ENCODE	Encode:Cell, tissue or DNA sample=Psoas_muscle_OC
Transcription factor binding sites (search by cell/tissue type)	RCC_7860	ENCODE	Encode:Cell, tissue or DNA sample=RCC_7860
Transcription factor binding sites (search by cell/tissue type)	RPMI-7951	ENCODE	Encode:Cell, tissue or DNA sample=RPMI-7951
Transcription factor binding sites (search by cell/tissue type)	RPTEC	ENCODE	Encode:Cell, tissue or DNA sample=RPTEC
Transcription factor binding sites (search by cell/tissue type)	RWPE1	ENCODE	Encode:Cell, tissue or DNA sample=RWPE1
Transcription factor binding sites (search by cell/tissue type)	Raji	ENCODE	Encode:Cell, tissue or DNA sample=Raji
Transcription factor binding sites (search by cell/tissue type)	SAEC	ENCODE	Encode:Cell, tissue or DNA sample=SAEC
Transcription factor binding sites (search by cell/tissue type)	SH-SY5Y	ENCODE	Encode:Cell, tissue or DNA sample=SH-SY5Y
Transcription factor binding sites (search by cell/tissue type)	SK-N-MC	ENCODE	Encode:Cell, tissue or DNA sample=SK-N-MC
Transcription factor binding sites (search by cell/tissue type)	SK-N-SH	ENCODE	Encode:Cell, tissue or DNA sample=SK-N-SH
Transcription factor binding sites (search by cell/tissue type)	SK-N-SH_RA	ENCODE	Encode:Cell, tissue or DNA sample=SK-N-SH_RA
Transcription factor binding sites (search by cell/tissue type)	SKMC	ENCODE	Encode:Cell, tissue or DNA sample=SKMC
Transcription factor binding sites (search by cell/tissue type)	SkMC	ENCODE	Encode:Cell, tissue or DNA sample=SkMC
Transcription factor binding sites (search by cell/tissue type)	Small_intestine_OC	ENCODE	Encode:Cell, tissue or DNA sample=Small_intestine_OC
Transcription factor binding sites (search by cell/tissue type)	Spleen_OC	ENCODE	Encode:Cell, tissue or DNA sample=Spleen_OC
Transcription factor binding sites (search by cell/tissue type)	Stellate	ENCODE	Encode:Cell, tissue or DNA sample=Stellate
Transcription factor binding sites (search by cell/tissue type)	T-47D	ENCODE	Encode:Cell, tissue or DNA sample=T-47D
Transcription factor binding sites (search by cell/tissue type)	T-REx-HEK293	ENCODE	Encode:Cell, tissue or DNA sample=T-REx-HEK293
Transcription factor binding sites (search by cell/tissue type)	Th0	ENCODE	Encode:Cell, tissue or DNA sample=Th0
Transcription factor binding sites (search by cell/tissue type)	Th1	ENCODE	Encode:Cell, tissue or DNA sample=Th1
Transcription factor binding sites (search by cell/tissue type)	Th17	ENCODE	Encode:Cell, tissue or DNA sample=Th17
Transcription factor binding sites (search by cell/tissue type)	Th1_Wb33676984	ENCODE	Encode:Cell, tissue or DNA sample=Th1_Wb33676984
Transcription factor binding sites (search by cell/tissue type)	Th1_Wb54553204	ENCODE	Encode:Cell, tissue or DNA sample=Th1_Wb54553204
Transcription factor binding sites (search by cell/tissue type)	Th2	ENCODE	Encode:Cell, tissue or DNA sample=Th2
Transcription factor binding sites (search by cell/tissue type)	Th2_Wb33676984	ENCODE	Encode:Cell, tissue or DNA sample=Th2_Wb33676984
Transcription factor binding sites (search by cell/tissue type)	Th2_Wb54553204	ENCODE	Encode:Cell, tissue or DNA sample=Th2_Wb54553204
Transcription factor binding sites (search by cell/tissue type)	Treg_Wb78495824	ENCODE	Encode:Cell, tissue or DNA sample=Treg_Wb78495824
Transcription factor binding sites (search by cell/tissue type)	Treg_Wb83319432	ENCODE	Encode:Cell, tissue or DNA sample=Treg_Wb83319432
Transcription factor binding sites (search by cell/tissue type)	U2OS	ENCODE	Encode:Cell, tissue or DNA sample=U2OS
Transcription factor binding sites (search by cell/tissue type)	U87	ENCODE	Encode:Cell, tissue or DNA sample=U87
Transcription factor binding sites (search by cell/tissue type)	UCH-1	ENCODE	Encode:Cell, tissue or DNA sample=UCH-1
Transcription factor binding sites (search by cell/tissue type)	Urothelia	ENCODE	Encode:Cell, tissue or DNA sample=Urothelia
Transcription factor binding sites (search by cell/tissue type)	WERI-Rb-1	ENCODE	Encode:Cell, tissue or DNA sample=WERI-Rb-1
Transcription factor binding sites (search by cell/tissue type)	WI-38	ENCODE	Encode:Cell, tissue or DNA sample=WI-38
Transcription factor binding sites (search by cell/tissue type)	bone_marrow_HS27a	ENCODE	Encode:Cell, tissue or DNA sample=bone_marrow_HS27a
Transcription factor binding sites (search by cell/tissue type)	bone_marrow_HS5	ENCODE	Encode:Cell, tissue or DNA sample=bone_marrow_HS5
Transcription factor binding sites (search by cell/tissue type)	bone_marrow_MSC	ENCODE	Encode:Cell, tissue or DNA sample=bone_marrow_MSC
Transcription factor binding sites (search by cell/tissue type)	hMNC-CB	ENCODE	Encode:Cell, tissue or DNA sample=hMNC-CB
Transcription factor binding sites (search by cell/tissue type)	hMNC-PB	ENCODE	Encode:Cell, tissue or DNA sample=hMNC-PB
Transcription factor binding sites (search by cell/tissue type)	hMSC-AT	ENCODE	Encode:Cell, tissue or DNA sample=hMSC-AT
Transcription factor binding sites (search by cell/tissue type)	hMSC-BM	ENCODE	Encode:Cell, tissue or DNA sample=hMSC-BM
Transcription factor binding sites (search by cell/tissue type)	hMSC-UC	ENCODE	Encode:Cell, tissue or DNA sample=hMSC-UC
Transcription factor binding sites (search by cell/tissue type)	iPS	ENCODE	Encode:Cell, tissue or DNA sample=iPS
Transcription factor binding sites (search by cell/tissue type)	iPS_CWRU1	ENCODE	Encode:Cell, tissue or DNA sample=iPS_CWRU1
Transcription factor binding sites (search by cell/tissue type)	iPS_NIHi11	ENCODE	Encode:Cell, tissue or DNA sample=iPS_NIHi11
Transcription factor binding sites (search by cell/tissue type)	iPS_NIHi7	ENCODE	Encode:Cell, tissue or DNA sample=iPS_NIHi7
Transcription factor binding sites (search by cell/tissue type)	iPS_hFib2_iPS4	ENCODE	Encode:Cell, tissue or DNA sample=iPS_hFib2_iPS4
Transcription factor binding sites (search by cell/tissue type)	iPS_hFib2_iPS5	ENCODE	Encode:Cell, tissue or DNA sample=iPS_hFib2_iPS5
Transcription factor binding sites (search by cell/tissue type)	ovcar-3	ENCODE	Encode:Cell, tissue or DNA sample=ovcar-3
Transcription factor binding sites (search by cell/tissue type)	pHTE	ENCODE	Encode:Cell, tissue or DNA sample=pHTE
Transcription factor binding sites (search by cell/tissue type)	prostate	ENCODE	Encode:Cell, tissue or DNA sample=prostate
Transcription factor binding sites (search by TF)	AP-2alpha	ENCODE	Encode:Antibody or target protein=AP-2alpha
Transcription factor binding sites (search by TF)	AP-2gamma	ENCODE	Encode:Antibody or target protein=AP-2gamma
Transcription factor binding sites (search by TF)	ARID3A_(NB100-279)	ENCODE	Encode:Antibody or target protein=ARID3A_(NB100-279)
Transcription factor binding sites (search by TF)	ARID3A_(sc-8821)	ENCODE	Encode:Antibody or target protein=ARID3A_(sc-8821)
Transcription factor binding sites (search by TF)	ATF1_(06-325)	ENCODE	Encode:Antibody or target protein=ATF1_(06-325)
Transcription factor binding sites (search by TF)	ATF2_(SC-81188)	ENCODE	Encode:Antibody or target protein=ATF2_(SC-81188)
Transcription factor binding sites (search by TF)	ATF3	ENCODE	Encode:Antibody or target protein=ATF3
Transcription factor binding sites (search by TF)	BAF155	ENCODE	Encode:Antibody or target protein=BAF155
Transcription factor binding sites (search by TF)	BAF170	ENCODE	Encode:Antibody or target protein=BAF170
Transcription factor binding sites (search by TF)	BATF	ENCODE	Encode:Antibody or target protein=BATF
Transcription factor binding sites (search by TF)	BCL11A	ENCODE	Encode:Antibody or target protein=BCL11A
Transcription factor binding sites (search by TF)	BCL3	ENCODE	Encode:Antibody or target protein=BCL3
Transcription factor binding sites (search by TF)	BCLAF1_(M33-P5B11)	ENCODE	Encode:Antibody or target protein=BCLAF1_(M33-P5B11)
Transcription factor binding sites (search by TF)	BCLAF1_(SC-101388)	ENCODE	Encode:Antibody or target protein=BCLAF1_(SC-101388)
Transcription factor binding sites (search by TF)	BDP1	ENCODE	Encode:Antibody or target protein=BDP1
Transcription factor binding sites (search by TF)	BHLHE40	ENCODE	Encode:Antibody or target protein=BHLHE40
Transcription factor binding sites (search by TF)	BHLHE40_(NB100-1800)	ENCODE	Encode:Antibody or target protein=BHLHE40_(NB100-1800)
Transcription factor binding sites (search by TF)	BRCA1_(A300-000A)	ENCODE	Encode:Antibody or target protein=BRCA1_(A300-000A)
Transcription factor binding sites (search by TF)	BRCA1_(C-1863)	ENCODE	Encode:Antibody or target protein=BRCA1_(C-1863)
Transcription factor binding sites (search by TF)	BRF1	ENCODE	Encode:Antibody or target protein=BRF1
Transcription factor binding sites (search by TF)	BRF2	ENCODE	Encode:Antibody or target protein=BRF2
Transcription factor binding sites (search by TF)	Bach1_(sc-14700)	ENCODE	Encode:Antibody or target protein=Bach1_(sc-14700)
Transcription factor binding sites (search by TF)	Brg1	ENCODE	Encode:Antibody or target protein=Brg1
Transcription factor binding sites (search by TF)	CBP_(sc-369)	ENCODE	Encode:Antibody or target protein=CBP_(sc-369)
Transcription factor binding sites (search by TF)	CBX2	ENCODE	Encode:Antibody or target protein=CBX2
Transcription factor binding sites (search by TF)	CBX3_(SC-101004)	ENCODE	Encode:Antibody or target protein=CBX3_(SC-101004)
Transcription factor binding sites (search by TF)	CBX8	ENCODE	Encode:Antibody or target protein=CBX8
Transcription factor binding sites (search by TF)	CCNT2	ENCODE	Encode:Antibody or target protein=CCNT2
Transcription factor binding sites (search by TF)	CDP_(sc-6327)	ENCODE	Encode:Antibody or target protein=CDP_(sc-6327)
Transcription factor binding sites (search by TF)	CEBPB	ENCODE	Encode:Antibody or target protein=CEBPB
Transcription factor binding sites (search by TF)	CEBPB_(SC-150)	ENCODE	Encode:Antibody or target protein=CEBPB_(SC-150)
Transcription factor binding sites (search by TF)	CEBPD_(SC-636)	ENCODE	Encode:Antibody or target protein=CEBPD_(SC-636)
Transcription factor binding sites (search by TF)	CEBPZ	ENCODE	Encode:Antibody or target protein=CEBPZ
Transcription factor binding sites (search by TF)	CELF1	ENCODE	Encode:Antibody or target protein=CELF1
Transcription factor binding sites (search by TF)	CHD1_(A301-218A)	ENCODE	Encode:Antibody or target protein=CHD1_(A301-218A)
Transcription factor binding sites (search by TF)	CHD1_(NB100-60411)	ENCODE	Encode:Antibody or target protein=CHD1_(NB100-60411)
Transcription factor binding sites (search by TF)	CHD2_(AB68301)	ENCODE	Encode:Antibody or target protein=CHD2_(AB68301)
Transcription factor binding sites (search by TF)	CHD2_(N-1250)	ENCODE	Encode:Antibody or target protein=CHD2_(N-1250)
Transcription factor binding sites (search by TF)	CHD4_Mi2	ENCODE	Encode:Antibody or target protein=CHD4_Mi2
Transcription factor binding sites (search by TF)	CHD7_(A301-223A-1)	ENCODE	Encode:Antibody or target protein=CHD7_(A301-223A-1)
Transcription factor binding sites (search by TF)	COREST_(ab24166)	ENCODE	Encode:Antibody or target protein=COREST_(ab24166)
Transcription factor binding sites (search by TF)	COREST_(sc-30189)	ENCODE	Encode:Antibody or target protein=COREST_(sc-30189)
Transcription factor binding sites (search by TF)	CREB1_(SC-240)	ENCODE	Encode:Antibody or target protein=CREB1_(SC-240)
Transcription factor binding sites (search by TF)	CTCF	ENCODE	Encode:Antibody or target protein=CTCF
Transcription factor binding sites (search by TF)	CTCFL_(SC-98982)	ENCODE	Encode:Antibody or target protein=CTCFL_(SC-98982)
Transcription factor binding sites (search by TF)	CTCF_(C-20)	ENCODE	Encode:Antibody or target protein=CTCF_(C-20)
Transcription factor binding sites (search by TF)	CTCF_(SC-15914)	ENCODE	Encode:Antibody or target protein=CTCF_(SC-15914)
Transcription factor binding sites (search by TF)	CTCF_(SC-5916)	ENCODE	Encode:Antibody or target protein=CTCF_(SC-5916)
Transcription factor binding sites (search by TF)	Control	ENCODE	Encode:Antibody or target protein=Control
Transcription factor binding sites (search by TF)	CtBP2	ENCODE	Encode:Antibody or target protein=CtBP2
Transcription factor binding sites (search by TF)	E2F1	ENCODE	Encode:Antibody or target protein=E2F1
Transcription factor binding sites (search by TF)	E2F4	ENCODE	Encode:Antibody or target protein=E2F4
Transcription factor binding sites (search by TF)	E2F6	ENCODE	Encode:Antibody or target protein=E2F6
Transcription factor binding sites (search by TF)	E2F6_(H-50)	ENCODE	Encode:Antibody or target protein=E2F6_(H-50)
Transcription factor binding sites (search by TF)	EBF	ENCODE	Encode:Antibody or target protein=EBF
Transcription factor binding sites (search by TF)	EBF1_(C-8)	ENCODE	Encode:Antibody or target protein=EBF1_(C-8)
Transcription factor binding sites (search by TF)	EBF1_(SC-137065)	ENCODE	Encode:Antibody or target protein=EBF1_(SC-137065)
Transcription factor binding sites (search by TF)	ELAVL1	ENCODE	Encode:Antibody or target protein=ELAVL1
Transcription factor binding sites (search by TF)	ELF1_(SC-631)	ENCODE	Encode:Antibody or target protein=ELF1_(SC-631)
Transcription factor binding sites (search by TF)	ELK1_(1277-1)	ENCODE	Encode:Antibody or target protein=ELK1_(1277-1)
Transcription factor binding sites (search by TF)	ELK4	ENCODE	Encode:Antibody or target protein=ELK4
Transcription factor binding sites (search by TF)	ERRA	ENCODE	Encode:Antibody or target protein=ERRA
Transcription factor binding sites (search by TF)	ERalpha_a	ENCODE	Encode:Antibody or target protein=ERalpha_a
Transcription factor binding sites (search by TF)	ETS1	ENCODE	Encode:Antibody or target protein=ETS1
Transcription factor binding sites (search by TF)	EZH2_(39875)	ENCODE	Encode:Antibody or target protein=EZH2_(39875)
Transcription factor binding sites (search by TF)	Egr-1	ENCODE	Encode:Antibody or target protein=Egr-1
Transcription factor binding sites (search by TF)	FOSL1_(SC-183)	ENCODE	Encode:Antibody or target protein=FOSL1_(SC-183)
Transcription factor binding sites (search by TF)	FOSL2	ENCODE	Encode:Antibody or target protein=FOSL2
Transcription factor binding sites (search by TF)	FOXA1_(C-20)	ENCODE	Encode:Antibody or target protein=FOXA1_(C-20)
Transcription factor binding sites (search by TF)	FOXA1_(SC-101058)	ENCODE	Encode:Antibody or target protein=FOXA1_(SC-101058)
Transcription factor binding sites (search by TF)	FOXA1_(SC-6553)	ENCODE	Encode:Antibody or target protein=FOXA1_(SC-6553)
Transcription factor binding sites (search by TF)	FOXA2_(SC-6554)	ENCODE	Encode:Antibody or target protein=FOXA2_(SC-6554)
Transcription factor binding sites (search by TF)	FOXM1_(SC-502)	ENCODE	Encode:Antibody or target protein=FOXM1_(SC-502)
Transcription factor binding sites (search by TF)	FOXP2	ENCODE	Encode:Antibody or target protein=FOXP2
Transcription factor binding sites (search by TF)	GABP	ENCODE	Encode:Antibody or target protein=GABP
Transcription factor binding sites (search by TF)	GATA-1	ENCODE	Encode:Antibody or target protein=GATA-1
Transcription factor binding sites (search by TF)	GATA-2	ENCODE	Encode:Antibody or target protein=GATA-2
Transcription factor binding sites (search by TF)	GATA1_(SC-266)	ENCODE	Encode:Antibody or target protein=GATA1_(SC-266)
Transcription factor binding sites (search by TF)	GATA2_(CG2-96)	ENCODE	Encode:Antibody or target protein=GATA2_(CG2-96)
Transcription factor binding sites (search by TF)	GATA2_(SC-267)	ENCODE	Encode:Antibody or target protein=GATA2_(SC-267)
Transcription factor binding sites (search by TF)	GATA3_(SC-268)	ENCODE	Encode:Antibody or target protein=GATA3_(SC-268)
Transcription factor binding sites (search by TF)	GATA3_(SC-269)	ENCODE	Encode:Antibody or target protein=GATA3_(SC-269)
Transcription factor binding sites (search by TF)	GCN5	ENCODE	Encode:Antibody or target protein=GCN5
Transcription factor binding sites (search by TF)	GR	ENCODE	Encode:Antibody or target protein=GR
Transcription factor binding sites (search by TF)	GRp20	ENCODE	Encode:Antibody or target protein=GRp20
Transcription factor binding sites (search by TF)	GTF2B	ENCODE	Encode:Antibody or target protein=GTF2B
Transcription factor binding sites (search by TF)	GTF2F1_(AB28179)	ENCODE	Encode:Antibody or target protein=GTF2F1_(AB28179)
Transcription factor binding sites (search by TF)	GTF2F1_(RAP-74)	ENCODE	Encode:Antibody or target protein=GTF2F1_(RAP-74)
Transcription factor binding sites (search by TF)	HA-E2F1	ENCODE	Encode:Antibody or target protein=HA-E2F1
Transcription factor binding sites (search by TF)	HCFC1_(NB100-68209)	ENCODE	Encode:Antibody or target protein=HCFC1_(NB100-68209)
Transcription factor binding sites (search by TF)	HDAC1_(SC-6298)	ENCODE	Encode:Antibody or target protein=HDAC1_(SC-6298)
Transcription factor binding sites (search by TF)	HDAC2_(A300-705A)	ENCODE	Encode:Antibody or target protein=HDAC2_(A300-705A)
Transcription factor binding sites (search by TF)	HDAC2_(SC-6296)	ENCODE	Encode:Antibody or target protein=HDAC2_(SC-6296)
Transcription factor binding sites (search by TF)	HDAC6_(A301-341A)	ENCODE	Encode:Antibody or target protein=HDAC6_(A301-341A)
Transcription factor binding sites (search by TF)	HEY1	ENCODE	Encode:Antibody or target protein=HEY1
Transcription factor binding sites (search by TF)	HMGN3	ENCODE	Encode:Antibody or target protein=HMGN3
Transcription factor binding sites (search by TF)	HNF4A	ENCODE	Encode:Antibody or target protein=HNF4A
Transcription factor binding sites (search by TF)	HNF4A_(H-171)	ENCODE	Encode:Antibody or target protein=HNF4A_(H-171)
Transcription factor binding sites (search by TF)	HNF4A_(SC-8987)	ENCODE	Encode:Antibody or target protein=HNF4A_(SC-8987)
Transcription factor binding sites (search by TF)	HNF4G_(SC-6558)	ENCODE	Encode:Antibody or target protein=HNF4G_(SC-6558)
Transcription factor binding sites (search by TF)	HSF1	ENCODE	Encode:Antibody or target protein=HSF1
Transcription factor binding sites (search by TF)	IGF2BP1	ENCODE	Encode:Antibody or target protein=IGF2BP1
Transcription factor binding sites (search by TF)	IKZF1_(IkN)_(UCLA)	ENCODE	Encode:Antibody or target protein=IKZF1_(IkN)_(UCLA)
Transcription factor binding sites (search by TF)	IRF1	ENCODE	Encode:Antibody or target protein=IRF1
Transcription factor binding sites (search by TF)	IRF3	ENCODE	Encode:Antibody or target protein=IRF3
Transcription factor binding sites (search by TF)	IRF4	ENCODE	Encode:Antibody or target protein=IRF4
Transcription factor binding sites (search by TF)	IRF4_(M-17)	ENCODE	Encode:Antibody or target protein=IRF4_(M-17)
Transcription factor binding sites (search by TF)	IRF4_(SC-6059)	ENCODE	Encode:Antibody or target protein=IRF4_(SC-6059)
Transcription factor binding sites (search by TF)	Ini1	ENCODE	Encode:Antibody or target protein=Ini1
Transcription factor binding sites (search by TF)	Input	ENCODE	Encode:Antibody or target protein=Input
Transcription factor binding sites (search by TF)	JARID1A_(ab26049)	ENCODE	Encode:Antibody or target protein=JARID1A_(ab26049)
Transcription factor binding sites (search by TF)	JMJD2A_(A300-861A-1)	ENCODE	Encode:Antibody or target protein=JMJD2A_(A300-861A-1)
Transcription factor binding sites (search by TF)	JunD	ENCODE	Encode:Antibody or target protein=JunD
Transcription factor binding sites (search by TF)	KAP1	ENCODE	Encode:Antibody or target protein=KAP1
Transcription factor binding sites (search by TF)	LSD1	ENCODE	Encode:Antibody or target protein=LSD1
Transcription factor binding sites (search by TF)	MAZ_(ab85725)	ENCODE	Encode:Antibody or target protein=MAZ_(ab85725)
Transcription factor binding sites (search by TF)	MBD4_(SC-271530)	ENCODE	Encode:Antibody or target protein=MBD4_(SC-271530)
Transcription factor binding sites (search by TF)	MEF2A	ENCODE	Encode:Antibody or target protein=MEF2A
Transcription factor binding sites (search by TF)	MEF2C_(SC-13268)	ENCODE	Encode:Antibody or target protein=MEF2C_(SC-13268)
Transcription factor binding sites (search by TF)	MTA3_(SC-81325)	ENCODE	Encode:Antibody or target protein=MTA3_(SC-81325)
Transcription factor binding sites (search by TF)	MYBL2_(SC-81192)	ENCODE	Encode:Antibody or target protein=MYBL2_(SC-81192)
Transcription factor binding sites (search by TF)	MafF_(M8194)	ENCODE	Encode:Antibody or target protein=MafF_(M8194)
Transcription factor binding sites (search by TF)	MafK_(SC-477)	ENCODE	Encode:Antibody or target protein=MafK_(SC-477)
Transcription factor binding sites (search by TF)	MafK_(ab50322)	ENCODE	Encode:Antibody or target protein=MafK_(ab50322)
Transcription factor binding sites (search by TF)	Max	ENCODE	Encode:Antibody or target protein=Max
Transcription factor binding sites (search by TF)	Mxi1_(AF4185)	ENCODE	Encode:Antibody or target protein=Mxi1_(AF4185)
Transcription factor binding sites (search by TF)	Mxi1_(bHLH)	ENCODE	Encode:Antibody or target protein=Mxi1_(bHLH)
Transcription factor binding sites (search by TF)	NANOG_(SC-33759)	ENCODE	Encode:Antibody or target protein=NANOG_(SC-33759)
Transcription factor binding sites (search by TF)	NCoR	ENCODE	Encode:Antibody or target protein=NCoR
Transcription factor binding sites (search by TF)	NELFe	ENCODE	Encode:Antibody or target protein=NELFe
Transcription factor binding sites (search by TF)	NF-E2	ENCODE	Encode:Antibody or target protein=NF-E2
Transcription factor binding sites (search by TF)	NF-E2_(H-230)	ENCODE	Encode:Antibody or target protein=NF-E2_(H-230)
Transcription factor binding sites (search by TF)	NF-E2_(SC-22827)	ENCODE	Encode:Antibody or target protein=NF-E2_(SC-22827)
Transcription factor binding sites (search by TF)	NF-YA	ENCODE	Encode:Antibody or target protein=NF-YA
Transcription factor binding sites (search by TF)	NF-YB	ENCODE	Encode:Antibody or target protein=NF-YB
Transcription factor binding sites (search by TF)	NFATC1_(SC-17834)	ENCODE	Encode:Antibody or target protein=NFATC1_(SC-17834)
Transcription factor binding sites (search by TF)	NFIC_(SC-81335)	ENCODE	Encode:Antibody or target protein=NFIC_(SC-81335)
Transcription factor binding sites (search by TF)	NFKB	ENCODE	Encode:Antibody or target protein=NFKB
Transcription factor binding sites (search by TF)	NR2F2_(SC-271940)	ENCODE	Encode:Antibody or target protein=NR2F2_(SC-271940)
Transcription factor binding sites (search by TF)	NRSF	ENCODE	Encode:Antibody or target protein=NRSF
Transcription factor binding sites (search by TF)	NSD2_(ab75359)	ENCODE	Encode:Antibody or target protein=NSD2_(ab75359)
Transcription factor binding sites (search by TF)	Nrf1	ENCODE	Encode:Antibody or target protein=Nrf1
Transcription factor binding sites (search by TF)	Oct-2	ENCODE	Encode:Antibody or target protein=Oct-2
Transcription factor binding sites (search by TF)	P300_KAT3B	ENCODE	Encode:Antibody or target protein=P300_KAT3B
Transcription factor binding sites (search by TF)	PABPC1	ENCODE	Encode:Antibody or target protein=PABPC1
Transcription factor binding sites (search by TF)	PAX5-C20	ENCODE	Encode:Antibody or target protein=PAX5-C20
Transcription factor binding sites (search by TF)	PAX5-N19	ENCODE	Encode:Antibody or target protein=PAX5-N19
Transcription factor binding sites (search by TF)	PCAF	ENCODE	Encode:Antibody or target protein=PCAF
Transcription factor binding sites (search by TF)	PGC1A	ENCODE	Encode:Antibody or target protein=PGC1A
Transcription factor binding sites (search by TF)	PHF8_(A301-772A)	ENCODE	Encode:Antibody or target protein=PHF8_(A301-772A)
Transcription factor binding sites (search by TF)	PLU1	ENCODE	Encode:Antibody or target protein=PLU1
Transcription factor binding sites (search by TF)	PML_(SC-71910)	ENCODE	Encode:Antibody or target protein=PML_(SC-71910)
Transcription factor binding sites (search by TF)	POU2F2	ENCODE	Encode:Antibody or target protein=POU2F2
